cell_line,drug,true_auc,pred_auc
EKVX,SB590885,0.980526,9.5897e-01
ES2,Dactinomycin,0.932634,3.9599e-01
769P,MK-8776,0.864578,9.3066e-01
NCIH1792,MK-8776,0.957473,9.2488e-01
SNU407,AZ6102,0.922663,8.8342e-01
MDAMB415,Taselisib,0.834131,7.2075e-01
HCC1569,Ibrutinib,0.793967,9.4662e-01
ACHN,Gallibiscoquinazole,0.941453,9.6764e-01
RL,BX795,0.858858,7.9648e-01
HCC366,L-Oxonoreleagnine,0.981262,9.7324e-01
GB1,PRT062607,0.948578,9.2677e-01
NCIH82,MK-8776,0.920473,9.2039e-01
HT1080,SGC0946,0.961417,9.7537e-01
A673,LY2109761,0.986673,9.7176e-01
KM12,Pevonedistat,0.556292,5.8929e-01
639V,Niraparib,0.979925,9.4204e-01
PATU8988T,Entinostat,0.98154,8.5022e-01
KMS11,AZD8186,0.842992,8.6012e-01
NCIH2452,Nutlin-3a(-),0.962076,9.5099e-01
NOMO1,Afuresertib,0.914275,8.7527e-01
HGC27,GSK2801,0.987213,9.6972e-01
IPC298,AZD8186,0.922329,8.7931e-01
MHHCALL2,BMS-345541,0.865536,9.1429e-01
SW1417,Oxaliplatin,0.949993,9.5084e-01
NCIH1048,Epirubicin,0.632139,5.6111e-01
697,PD0325901,0.939978,9.0364e-01
CAPAN2,Ruxolitinib,0.969446,9.6925e-01
BICR22,Osimertinib,0.965725,9.1231e-01
SKNFI,PD0325901,0.792383,8.6262e-01
GAMG,AMG-319,0.976292,9.6745e-01
KATOIII,Motesanib,0.896289,9.7648e-01
CMLT1,Wee1-Inhibitor,0.691476,6.8007e-01
G361,GDC0810,0.985281,9.7180e-01
SUDHL10,Zoledronate,0.99444,9.7426e-01
NCIH2347,Axitinib,0.902892,9.3745e-01
SAOS2,Ibrutinib,0.975565,9.6613e-01
HARA,Sabutoclax,0.505277,4.2455e-01
CCK81,WEHI-539,0.972791,9.5325e-01
NCIH524,GSK343,0.989684,9.7281e-01
COLO800,Foretinib,0.726848,7.1869e-01
HCC44,PD173074,0.946887,9.2732e-01
22RV1,Camptothecin,0.783025,8.2268e-01
NCIH211,Picolinici-acid,0.990602,9.7469e-01
HCC1806,Sepantronium-bromide,0.169061,1.0971e-01
HCC1500,BMS-754807,0.987712,8.8602e-01
CAS1,Ruxolitinib,0.971823,9.6714e-01
MCF7,MK-8776,0.977392,9.4804e-01
LS123,AZD7762,0.734943,7.3181e-01
CW2,Paclitaxel,0.987493,9.3077e-01
ME1,Bleomycin(50uM),0.986023,9.3529e-01
G292CLONEA141B1,P22077,0.957987,9.6172e-01
TOV112D,Podophyllotoxin-bromide,0.668907,7.8925e-01
MDST8,Osimertinib,0.964237,9.4418e-01
NCIH2196,GSK1904529A,0.987652,9.6686e-01
NCIH292,SGC0946,0.974777,9.2151e-01
HCC1500,Vinblastine,0.779251,8.8840e-01
NCIH2291,MK-8776,0.955469,9.3486e-01
NCIH747,Bleomycin(50uM),0.721529,8.4899e-01
MDAMB468,AZD5363,0.880358,8.7021e-01
HT144,AZ6102,0.725155,8.6062e-01
A673,Alisertib,0.760687,6.3507e-01
FTC133,BI-2536,0.86738,7.6494e-01
SNUC5,AZ960,0.835619,7.9453e-01
RS411,Niraparib,0.933967,8.8127e-01
KNS62,MK-8776,0.961282,9.5346e-01
22RV1,Rucaparib,0.945528,9.6378e-01
MELHO,Pictilisib,0.810369,7.9810e-01
DAUDI,LMP744,0.363332,5.3977e-01
OVTOKO,GSK343,0.964679,9.7110e-01
LOUNH91,Sapitinib,0.845864,9.1124e-01
PANC0403,POMHEX,0.747181,8.3745e-01
ES2,Dihydrorotenone,0.918425,9.2741e-01
MHHCALL4,Venetoclax,0.738869,8.0087e-01
DMS53,Rucaparib,0.968828,9.6964e-01
K562,Gemcitabine,0.897582,6.9575e-01
SF268,PCI-34051,0.935198,9.6111e-01
TE441T,BMS-754807,0.620037,8.2231e-01
MDAMB231,Gemcitabine,0.809096,7.3732e-01
JHH4,Gemcitabine,0.740874,8.0860e-01
NCIH2291,Daporinad,0.732174,8.0431e-01
EKVX,VX-11e,0.830096,8.4581e-01
CORL311,GSK2606414,0.966765,9.3641e-01
PSN1,AZD3759,0.971284,9.6391e-01
D283MED,Schweinfurthin-A,0.733491,7.7550e-01
NCIH196,PFI3,0.986868,9.7679e-01
CA46,Epirubicin,0.681157,7.7562e-01
CAL54,Erlotinib,0.783989,8.9377e-01
SU8686,AZD5363,0.946349,9.3499e-01
DU4475,Motesanib,0.992303,9.7182e-01
FU97,Daporinad,0.839999,6.7176e-01
SUDHL8,Zoledronate,0.99569,9.7539e-01
TE6,Schweinfurthin-A,0.975229,9.4603e-01
OCUM1,I-BET-762,0.850737,9.0936e-01
MM1S,PRT062607,0.864217,8.6438e-01
SW1710,AZD1208,0.935927,9.7400e-01
HCC1143,Bleomycin(50uM),0.931681,8.8187e-01
NCIH2030,Gemcitabine,0.899585,4.4242e-01
G361,PD173074,0.922864,9.2549e-01
HCC827,PRT062607,0.934853,9.1754e-01
CCK81,Vinorelbine,0.838924,8.7076e-01
HCC1187,VX-11e,0.94352,9.1391e-01
DOHH2,AZD5991,0.231718,8.3376e-01
A375,Ribociclib,0.989387,9.6530e-01
KYSE70,Crizotinib,0.951241,9.4981e-01
HSC3,VE-822,0.98123,9.0719e-01
HCT15,Entospletinib,0.842187,9.2780e-01
HCC827,Dabrafenib,0.974412,9.4809e-01
J82,JQ1,0.969278,9.1649e-01
PANC1005,GSK2606414,0.953294,9.3653e-01
NCIH522,I-BRD9,0.983878,9.6680e-01
KYSE520,CCT007093,0.958317,9.7458e-01
SW48,GDC0810,0.953146,9.6818e-01
NCIH1155,NVP-ADW742,0.9415,9.0369e-01
SNUC1,Cyclophosphamide,0.97591,9.7191e-01
SW1417,Lapatinib,0.939046,8.9103e-01
DMS273,MG-132,0.496566,3.9597e-01
NCIH522,Olaparib,0.971628,9.6496e-01
RT112,Nelarabine,0.978151,9.7443e-01
G401,Trametinib,0.71761,6.8640e-01
TOV112D,CCT007093,0.97761,9.7385e-01
OVTOKO,Remodelin,0.948465,9.1744e-01
KM12,MIM1,0.914095,8.0017e-01
H4,Zoledronate,0.976639,9.7303e-01
A3KAW,Wee1-Inhibitor,0.602982,6.4472e-01
OVISE,LJI308,0.982276,9.7427e-01
NCIH1915,AZD5991,0.977838,8.8169e-01
LOUCY,Tanespimycin,0.934043,8.3589e-01
NCIH2227,AZ960,0.735173,7.7979e-01
SKNAS,KU-55933,0.982248,9.7072e-01
CALU6,Entospletinib,0.894664,9.3127e-01
DND41,Osimertinib,0.99399,9.6965e-01
DMS53,GDC0810,0.981991,9.7547e-01
NCIH82,BI-2536,0.270066,5.1551e-01
YKG1,BMS-754807,0.863432,8.7272e-01
COLO680N,Doramapimod,0.980115,9.7443e-01
KMRC20,Selumetinib,0.959841,9.3341e-01
HSC2,VX-11e,0.91721,8.7736e-01
NCIH841,AZ960,0.823202,8.2674e-01
DKMG,Tamoxifen,0.933442,9.3555e-01
CORL311,Bleomycin(50uM),0.906169,7.6821e-01
SW1116,AZD5991,0.985073,9.5861e-01
OV90,Niraparib,0.959942,9.5428e-01
MHHCALL2,Sepantronium-bromide,0.029701,9.2400e-02
A2058,Oxaliplatin,0.978464,9.2451e-01
MG63,AZD8055,0.714404,8.0288e-01
SKOV3,Paclitaxel,0.837887,9.1866e-01
NCIH838,RVX-208,0.958016,9.5785e-01
OVCAR8,Bromosporine,0.971972,9.5715e-01
FU97,Osimertinib,0.932266,9.3694e-01
MDAMB436,Lenalidomide,0.98243,9.7593e-01
CHP212,Dasatinib,0.647815,8.2689e-01
SNU387,Vinorelbine,0.787631,8.4365e-01
TE15,Acetalax,0.86255,6.7882e-01
SIMA,Sapitinib,0.96332,9.6837e-01
EBC1,Sapitinib,0.96368,9.5657e-01
HOP92,Leflunomide,0.856317,9.3134e-01
CA46,AZ960,0.797107,8.0862e-01
LXF289,Trametinib,0.863568,7.8140e-01
BT20,Camptothecin,0.883584,9.3650e-01
U118MG,Pevonedistat,0.621336,7.1540e-01
LAMA84,SB216763,0.99167,9.6695e-01
NUGC3,MIM1,0.943354,8.2453e-01
KYSE520,OTX015,0.917776,8.8938e-01
RERFGC1B,AGI-5198,0.983502,9.6333e-01
OVKATE,GSK2578215A,0.974078,9.7392e-01
RPMI8402,Dactinomycin,0.201154,8.6051e-01
EJM,Nutlin-3a(-),0.987022,9.5761e-01
SUPB15,Docetaxel,0.912835,7.9187e-01
CW2,Pictilisib,0.802705,8.6835e-01
NCIH2227,CZC24832,0.967354,9.7301e-01
SKMEL5,Dasatinib,0.973179,8.4855e-01
EPLC272H,Nilotinib,0.978002,9.5079e-01
HCC827,Osimertinib,0.485425,7.9968e-01
EBC1,AGI-6780,0.940422,9.5513e-01
HUH1,LY2109761,0.94871,9.7419e-01
NOMO1,LCL161,0.984391,9.6425e-01
SIMA,GSK2830371,0.965497,9.7386e-01
EFO27,Piperlongumine,0.865887,9.0528e-01
SCC9,ICL-SIRT078,0.97874,9.5102e-01
MDAMB231,Taselisib,0.92751,8.8274e-01
ME1,Sepantronium-bromide,0.471631,2.0037e-01
NCIH28,AGI-5198,0.902815,9.6811e-01
HT144,PD173074,0.931656,9.2151e-01
NCIH2029,Tanespimycin,0.985856,9.2110e-01
C2BBE1,AGI-6780,0.943865,9.5143e-01
MDAMB361,WIKI4,0.97201,9.2609e-01
HT144,SGC-CBP30,0.981813,9.6860e-01
NCIH1436,Gefitinib,0.984616,9.7221e-01
TE8,AZD5438,0.837054,8.5719e-01
NCIH1975,Methotrexate,0.554943,8.4243e-01
NCIH1944,BMS-345541,0.865003,9.1793e-01
TYKNU,GSK591,0.956445,9.4206e-01
HCC1187,Schweinfurthin-A,0.963297,9.1244e-01
SKCO1,Buparlisib,0.662771,8.3842e-01
BL41,Alpelisib,0.994007,9.4463e-01
SW948,Temsirolimus,0.890809,9.1601e-01
SKM1,Niraparib,0.942413,8.9574e-01
SCC15,Temozolomide,0.985527,9.7117e-01
ECGI10,I-BRD9,0.978503,9.5419e-01
CL11,I-BET-762,0.859085,8.9359e-01
BL41,Vorinostat,0.754045,6.5656e-01
CORL88,Taselisib,0.983889,9.2384e-01
JURKAT,Erlotinib,0.948121,9.6397e-01
NCIH522,Bleomycin(50uM),0.637525,8.8803e-01
PANC0203,Dactinomycin,0.906434,8.0100e-01
SKNAS,WZ4003,0.974696,9.3825e-01
DMS114,AZD5363,0.911666,9.0397e-01
NCIH209,GNE-317,0.471063,7.5336e-01
NCIH441,Leflunomide,0.833384,9.3818e-01
SW948,Rucaparib,0.970811,9.6244e-01
KG1,AZD5582,0.681061,8.5779e-01
ES2,5-Fluorouracil,0.920782,9.0564e-01
HCC1500,JQ1,0.91728,8.8184e-01
OVTOKO,AZD3759,0.93999,9.5709e-01
FADU,Veliparib,0.979602,9.7304e-01
NCIH650,AZD5582,0.85317,9.0529e-01
COLO678,Pevonedistat,0.895881,8.8355e-01
COLO792,Savolitinib,0.961404,9.5855e-01
CALU3,RVX-208,0.969848,9.6616e-01
SW1710,Olaparib,0.96365,9.6490e-01
NCIH1436,RVX-208,0.987923,9.6886e-01
SCC15,PD0325901,0.908834,8.9537e-01
SNU407,Epirubicin,0.789799,8.1470e-01
P31FUJ,Axitinib,0.580761,8.2954e-01
OV56,Wnt-C59,0.967067,9.6843e-01
NCIH716,Gefitinib,0.980937,9.5972e-01
RAJI,Lenalidomide,0.971258,9.7504e-01
CAL62,Dactinomycin,0.909171,7.7914e-01
RKN,UMI-77,0.852444,9.3862e-01
697,Selumetinib,0.965662,9.1263e-01
A549,UMI-77,0.835991,8.4976e-01
ASPC1,Fulvestrant,0.960521,9.7561e-01
L363,I-BRD9,0.947004,9.5214e-01
SNGM,AZD2014,0.936414,8.6411e-01
SKMM2,TW-37,0.96182,8.9827e-01
RL952,Dacarbazine,0.984375,9.7126e-01
KMH2,Nilotinib,0.973287,9.5826e-01
NCIH2170,Nelarabine,0.983979,9.6888e-01
PANC0813,Bleomycin(50uM),0.919963,9.1735e-01
SKMEL31,I-BRD9,0.975,9.5942e-01
MOLT16,Sabutoclax,0.236252,3.2287e-01
A704,Buparlisib,0.761335,8.7157e-01
5637,Docetaxel,0.704147,8.5633e-01
C32,PRIMA-1MET,0.973119,9.1101e-01
HS939T,AZD6482,0.861009,9.1116e-01
OCIAML2,POMHEX,0.512362,6.1794e-01
LN229,Vinorelbine,0.89181,8.5086e-01
HSC4,YK-4-279,0.957642,8.4535e-01
BFTC905,Vinorelbine,0.616156,7.0618e-01
SW1417,Entospletinib,0.897905,9.3819e-01
DU4475,I-BET-762,0.958725,8.0166e-01
LAMA84,VX-11e,0.682101,7.2162e-01
SU8686,Telomerase-Inhibitor-IX,0.809309,8.3995e-01
SKMM2,Fulvestrant,0.980228,9.7616e-01
EPLC272H,Paclitaxel,0.872413,8.7972e-01
AMO1,Lapatinib,0.850129,9.1887e-01
FUOV1,Avagacestat,0.971343,9.6958e-01
RERFLCMS,Lapatinib,0.828062,8.8117e-01
DAOY,LGK974,0.942913,9.6472e-01
SNU61,CZC24832,0.985842,9.7507e-01
AMO1,Dinaciclib,0.365905,3.6768e-01
SUPT1,P22077,0.955532,9.3900e-01
NCIH1975,Vinorelbine,0.811204,8.0176e-01
GDM1,Veliparib,0.982841,9.7455e-01
CAL51,JQ1,0.931478,7.6427e-01
D283MED,ABT737,0.610896,6.1966e-01
AM38,Fulvestrant,0.983585,9.7415e-01
CAL29,BI-2536,0.539795,7.3946e-01
NCIH522,AT13148,0.939773,9.5248e-01
SAOS2,PLX-4720,0.956799,9.6280e-01
FADU,AZD1208,0.986463,9.7186e-01
YH13,MN-64,0.976209,9.6388e-01
RKO,ZM447439,0.871026,8.4856e-01
DETROIT562,Ulixertinib,0.864572,8.3732e-01
JURKAT,VX-11e,0.933471,9.1874e-01
HSC4,JQ1,0.917729,8.7833e-01
NCIH747,Cediranib,0.764649,7.9831e-01
SKMEL24,AT13148,0.920198,9.2725e-01
NCIH2087,Veliparib,0.980067,9.7618e-01
HCT116,Picolinici-acid,0.973792,9.7406e-01
EBC1,Lapatinib,0.92319,9.4449e-01
NCIH2291,Bosutinib,0.963891,9.4290e-01
KYM1,Afatinib,0.8536,8.1775e-01
CAL29,GSK1904529A,0.984522,9.6377e-01
ONS76,Acetalax,0.98081,9.5037e-01
SIMA,PLX-4720,0.985817,9.5455e-01
BFTC905,Bleomycin(50uM),0.327668,6.9708e-01
NCIH1155,P22077,0.953769,9.4928e-01
UACC893,Afuresertib,0.567459,7.2999e-01
HT144,BMS-345541,0.81557,9.2268e-01
TYKNU,AZD5582,0.938635,7.9954e-01
CAOV3,AGI-5198,0.968233,9.6445e-01
NCIH929,MN-64,0.987074,9.5542e-01
GAMG,PLX-4720,0.978197,9.5852e-01
KYSE140,Cyclophosphamide,0.984496,9.7310e-01
MDAMB436,Pyridostatin,0.873825,9.5602e-01
HS939T,GSK591,0.955306,9.2378e-01
PANC0203,NU7441,0.906826,8.9959e-01
UACC812,alpha-lipoic-acid,0.982831,9.7566e-01
SKMEL1,MK-1775,0.885719,8.0234e-01
SH4,WEHI-539,0.950804,9.4344e-01
SKM1,Oxaliplatin,0.783836,8.4831e-01
LOVO,JNK-Inhibitor-VIII,0.970266,9.6657e-01
BEN,Cediranib,0.829685,8.6563e-01
MDAMB436,AZD3759,0.963139,9.6383e-01
JVM2,Axitinib,0.722897,7.4375e-01
MDST8,SGC0946,0.983496,9.7246e-01
SNU81,NU7441,0.898512,9.4669e-01
KU1919,WIKI4,0.93874,9.1833e-01
HCC1187,NU7441,0.967885,9.2629e-01
NCIH1568,Selumetinib,0.916052,9.1991e-01
OCIAML2,Docetaxel,0.798785,8.0120e-01
SKMEL28,AT13148,0.929604,9.1105e-01
COLO829,Crizotinib,0.910291,9.1895e-01
DMS273,AZD7762,0.659626,5.9637e-01
TT,EPZ004777,0.962971,9.7442e-01
CAPAN2,MIRA-1,0.953577,9.7353e-01
NCIH524,GSK2578215A,0.989678,9.7264e-01
TE1,GSK2110183B,0.981404,9.4564e-01
NCIH209,AZD6738,0.767287,7.7259e-01
SIGM5,Dasatinib,0.950989,7.4080e-01
G361,Pictilisib,0.854011,8.1504e-01
ZR7530,Romidepsin,0.924309,9.0723e-01
NCIH1838,Rucaparib,0.978302,9.7197e-01
HCC827,XAV939,0.874953,9.4030e-01
CALU3,I-BRD9,0.967918,9.5904e-01
CAL12T,SL0101,0.947447,9.7113e-01
SW48,Entinostat,0.89271,7.5367e-01
SKNDZ,CCT007093,0.982337,9.7408e-01
CORL311,Methotrexate,0.462685,7.8898e-01
EJM,Nelarabine,0.991165,9.7609e-01
L540,5-Fluorouracil,0.513282,8.8107e-01
SHP77,KRAS(G12C)Inhibitor-12,0.916223,9.3934e-01
QGP1,GNE-317,0.806,8.0514e-01
OPM2,ABT737,0.812201,5.8893e-01
BCPAP,L-Oxonoreleagnine,0.972448,9.7228e-01
FADU,MG-132,0.576858,5.7670e-01
SNU407,VE-822,0.980501,9.3889e-01
COLO684,Obatoclax-Mesylate,0.747401,6.6964e-01
TYKNU,PD0325901,0.787831,8.0044e-01
MHHCALL2,Axitinib,0.822023,7.6209e-01
ESS1,XAV939,0.945917,9.5806e-01
LS180,JNK-Inhibitor-VIII,0.980693,9.7171e-01
BXPC3,AZD5582,0.612614,8.6151e-01
CAOV4,AZD6738,0.743046,8.2270e-01
8MGBA,MIM1,0.87652,8.2541e-01
NCIH2052,Leflunomide,0.917636,9.2038e-01
PANC0327,Sapitinib,0.895782,9.1697e-01
DB,Bromosporine,0.868986,9.3456e-01
SKMM2,Bosutinib,0.934643,9.3219e-01
SCC4,VX-11e,0.918933,8.8224e-01
CAL54,Obatoclax-Mesylate,0.678401,5.9760e-01
DU4475,Romidepsin,0.707852,7.5022e-01
PANC0327,GDC0810,0.983498,9.7289e-01
HT144,VE821,0.830116,9.4127e-01
C32,Pyridostatin,0.968038,9.3737e-01
ECGI10,Ribociclib,0.98537,9.6474e-01
JHOS2,PFI3,0.98225,9.7367e-01
MSTO211H,WIKI4,0.9473,9.5819e-01
SNGM,Doramapimod,0.954161,9.7283e-01
OV90,Vismodegib,0.963986,9.7166e-01
NCIH2170,Oxaliplatin,0.911941,9.1727e-01
NMCG1,Oxaliplatin,0.955618,9.3998e-01
BCPAP,Acetalax,0.984076,9.3821e-01
WM115,EPZ004777,0.974831,9.7517e-01
HUCCT1,Romidepsin,0.803097,8.1521e-01
NCIH292,EPZ5676,0.966405,9.5749e-01
NCIH2052,UMI-77,0.950875,9.1759e-01
NCIH2029,Telomerase-Inhibitor-IX,0.866118,8.5638e-01
HGC27,Dactolisib,0.57337,7.4021e-01
MDAMB436,Daporinad,0.976255,7.7464e-01
COLO668,UMI-77,0.877337,9.3326e-01
SUDHL4,Wnt-C59,0.928557,9.5186e-01
K562,alpha-lipoic-acid,0.975166,9.7571e-01
LS123,Entinostat,0.884402,8.7569e-01
IPC298,MK-1775,0.548674,6.6670e-01
SCC4,Gallibiscoquinazole,0.98076,9.7278e-01
TT2609C02,GSK1904529A,0.962212,9.6535e-01
CAL29,Irinotecan,0.829265,8.7823e-01
RPMI7951,PCI-34051,0.985679,9.4874e-01
OCILY19,SGC0946,0.98954,9.7401e-01
LS411N,Bortezomib,0.833822,7.6155e-01
NCIH28,LJI308,0.959883,9.7350e-01
RERFLCKJ,LGK974,0.983325,9.6207e-01
BICR31,Foretinib,0.572212,8.1519e-01
LS411N,Sapitinib,0.987428,8.6292e-01
A704,Remodelin,0.973362,9.1303e-01
NCIH2052,GSK2801,0.977838,9.7310e-01
TOV112D,MK-1775,0.748639,6.6853e-01
LOUCY,AZD5582,0.62393,7.5420e-01
HCC2218,Navitoclax,0.978551,9.5898e-01
A253,AZD4547,0.98727,9.6798e-01
SH4,AZD6738,0.953207,8.6064e-01
NOMO1,OF-1,0.961816,9.5414e-01
DMS273,AZD3759,0.986365,9.6648e-01
NCIH522,AZD5363,0.969507,9.3532e-01
U2OS,GSK2830371,0.992248,9.7562e-01
SW1088,Ibrutinib,0.969509,9.1191e-01
MEG01,Lenalidomide,0.967862,9.7333e-01
MHHCALL4,Wnt-C59,0.987713,9.5081e-01
NCIH1781,Camptothecin,0.723946,7.7617e-01
SBC5,NVP-ADW742,0.904726,9.1015e-01
TCCSUP,EPZ5676,0.979377,9.7663e-01
HCC1395,P22077,0.982882,9.5444e-01
MONOMAC6,Daporinad,0.414884,2.1921e-01
COLO792,Sepantronium-bromide,0.094219,1.7472e-01
HT144,Schweinfurthin-A,0.948869,9.3114e-01
ST486,Entinostat,0.671825,6.5116e-01
SKMEL2,GDC0810,0.97862,9.7476e-01
SNU175,SN-38,0.898331,8.0049e-01
SNU407,AZD5438,0.859038,8.6489e-01
HDLM2,Gefitinib,0.985957,9.7144e-01
G402,LJI308,0.979942,9.6988e-01
RL952,WEHI-539,0.974991,9.3991e-01
NCIH1623,GSK2578215A,0.981627,9.6815e-01
NCIH1092,Temsirolimus,0.975226,9.4398e-01
NCIH28,Fulvestrant,0.955433,9.7525e-01
HCC1143,OTX015,0.980245,8.8023e-01
SW1116,KU-55933,0.981588,9.7343e-01
RD,Teniposide,0.90398,8.4967e-01
SNU387,GSK2606414,0.955512,9.4461e-01
HOS,ABT737,0.950726,7.9335e-01
NCIH1838,Obatoclax-Mesylate,0.780472,8.3724e-01
UACC62,Dabrafenib,0.275801,7.0085e-01
WM115,VX-11e,0.816728,8.0835e-01
LN229,Olaparib,0.967622,9.6677e-01
LS123,Telomerase-Inhibitor-IX,0.784545,7.3089e-01
PANC0813,GSK343,0.981715,9.7399e-01
A673,Ipatasertib,0.949324,9.1954e-01
SF126,XAV939,0.962554,9.6320e-01
LS180,Erlotinib,0.933634,9.3453e-01
TE15,GSK2110183B,0.937973,8.8605e-01
AM38,Gallibiscoquinazole,0.945845,9.7196e-01
CAL12T,Pevonedistat,0.885358,7.4527e-01
NCIH2196,Paclitaxel,0.931781,8.1503e-01
PATU8902,alpha-lipoic-acid,0.96836,9.7560e-01
A3KAW,GSK1904529A,0.925685,9.5191e-01
BL41,Avagacestat,0.997149,9.6885e-01
NCIH1838,Remodelin,0.941455,9.4973e-01
SW948,Dabrafenib,0.946827,9.0607e-01
A2058,Irinotecan,0.793328,8.6295e-01
TE5,BMS-754807,0.98398,9.0505e-01
COLO783,JQ1,0.873935,7.8405e-01
HCC1187,VE-822,0.981363,9.4517e-01
OE33,Dihydrorotenone,0.960717,9.1122e-01
NCIH2023,Refametinib,0.867707,8.7941e-01
DB,Sepantronium-bromide,0.101373,9.2800e-02
KCL22,MK-8776,0.875924,8.9801e-01
PANC0813,LCL161,0.980947,9.7188e-01
SUDHL6,Osimertinib,0.958919,9.2925e-01
CAL33,Dihydrorotenone,0.759837,9.1691e-01
KPNRTBM1,Ibrutinib,0.965527,9.7083e-01
TCCSUP,CZC24832,0.962651,9.7483e-01
KYSE520,GSK343,0.971875,9.6915e-01
MDAMB415,ABT737,0.703635,9.4562e-01
A673,Methotrexate,0.644659,8.1243e-01
PSN1,Venetoclax,0.966244,9.6806e-01
KYSE70,Gefitinib,0.975174,9.6905e-01
NCIH1105,Rucaparib,0.982916,9.6947e-01
BT20,Romidepsin,0.917758,8.8033e-01
HH,Gemcitabine,0.99129,8.1457e-01
SHP77,GSK2830371,0.988292,9.7532e-01
MEG01,Ribociclib,0.986532,9.6629e-01
L363,Cediranib,0.903781,8.3776e-01
GDM1,Rucaparib,0.921251,9.4481e-01
THP1,LY2109761,0.985751,9.6640e-01
TE15,AZD1208,0.982812,9.6874e-01
SKMEL24,Ibrutinib,0.931542,9.2201e-01
CHAGOK1,NU7441,0.929759,9.4008e-01
BV173,Dactolisib,0.720666,7.6392e-01
GB1,LY2109761,0.954576,9.7455e-01
PANC0403,Oxaliplatin,0.924671,9.5469e-01
OSRC2,AZD2014,0.887414,8.8856e-01
CAMA1,NU7441,0.838724,9.1313e-01
HPAFII,PRT062607,0.904494,9.3464e-01
PATU8988T,BIBR-1532,0.982952,9.7479e-01
NCIH2405,BIBR-1532,0.948577,9.7590e-01
LCLC97TM1,MK-8776,0.985682,9.3464e-01
NCIH1435,AZD1332,0.993413,9.6463e-01
KMH2,LCL161,0.990991,9.6972e-01
SKES1,IWP-2,0.983883,9.7417e-01
LN229,Schweinfurthin-A,0.979324,9.3256e-01
BXPC3,Erlotinib,0.909689,9.1599e-01
PF382,Romidepsin,0.778263,7.6732e-01
SUPT1,SCH772984,0.96909,9.1159e-01
HCC1806,Selumetinib,0.86134,9.1322e-01
SUPB15,WIKI4,0.9828,9.6014e-01
KMS11,BMS-345541,0.774151,8.6280e-01
CORL311,Vinblastine,0.744607,6.6327e-01
NCIH660,JQ1,0.984733,9.2696e-01
H4,AZD1332,0.919084,9.2089e-01
YKG1,Elesclomol,0.979807,8.3275e-01
CORL105,GSK591,0.970849,9.4886e-01
JM1,Ipatasertib,0.995129,9.2471e-01
SW1271,PD173074,0.952377,9.4499e-01
RCHACV,Leflunomide,0.759756,7.9890e-01
BICR22,Acetalax,0.610931,8.9241e-01
LU65,Vorinostat,0.887233,7.7310e-01
OPM2,Fulvestrant,0.993889,9.7457e-01
SW1088,AZD5153,0.834742,7.9189e-01
LOUNH91,Bromosporine,0.928942,9.4979e-01
A3KAW,Irinotecan,0.622671,6.9221e-01
SKNFI,Linsitinib,0.79867,9.5208e-01
NAMALWA,BI-2536,0.321085,4.3760e-01
A204,Methotrexate,0.682233,8.7133e-01
AU565,Wee1-Inhibitor,0.862715,8.3234e-01
ST486,ICL-SIRT078,0.952948,9.2879e-01
T47D,Ipatasertib,0.782307,9.0112e-01
HCC33,PFI3,0.987908,9.7557e-01
OCIAML3,AMG-319,0.840376,9.5816e-01
HUCCT1,Picolinici-acid,0.979357,9.7375e-01
C32,Tretinoin,0.962133,9.6989e-01
SIMA,Ibrutinib,0.981032,9.6966e-01
CALU3,SN-38,0.884728,9.1123e-01
MDAMB231,Talazoparib,0.941265,9.0548e-01
BHY,Dinaciclib,0.616894,6.7010e-01
COLO829,YK-4-279,0.823856,8.5987e-01
EFM19,PD173074,0.945779,9.5159e-01
UACC812,Cyclophosphamide,0.974642,9.7273e-01
NCIH460,Tretinoin,0.975829,9.6284e-01
RL,Nutlin-3a(-),0.986935,8.5651e-01
NCIH1915,Podophyllotoxin-bromide,0.764414,8.3786e-01
SW1710,EPZ5676,0.985211,9.7629e-01
SF268,Pevonedistat,0.790759,7.4669e-01
FTC133,Oxaliplatin,0.957588,9.3128e-01
ONS76,LMP744,0.731409,6.9553e-01
NCIH1623,Dabrafenib,0.97671,9.4294e-01
MELHO,Niraparib,0.971033,9.4468e-01
RKO,Vinorelbine,0.564646,7.5090e-01
KMS12BM,PD173074,0.921296,9.2330e-01
DOHH2,Talazoparib,0.020152,3.3841e-01
U118MG,I-BRD9,0.9396,9.5650e-01
SKNFI,NU7441,0.915653,9.1358e-01
KMH2,Dabrafenib,0.989227,9.6603e-01
A704,Methotrexate,0.938716,8.8109e-01
SKMEL28,Cyclophosphamide,0.921613,9.5554e-01
LS180,LGK974,0.953471,9.6053e-01
L1236,BIBR-1532,0.986336,9.7303e-01
EN,CCT007093,0.978847,9.7583e-01
JEKO1,SB216763,0.916691,9.7015e-01
NCIH1092,Serdemetan,0.97986,9.5803e-01
NCIH647,Veliparib,0.965136,9.6953e-01
GRANTA519,Ruxolitinib,0.983698,9.6987e-01
CAMA1,PD0325901,0.980952,9.4716e-01
HCT15,Sepantronium-bromide,0.269866,1.4088e-01
CORL23,GSK2801,0.969099,9.7190e-01
HUH1,ML323,0.943882,9.4911e-01
NCIH1341,Axitinib,0.877728,8.7538e-01
RL952,EHT-1864,0.864087,9.4419e-01
